id,description,description_cleaned,source,page
Nepal_Polytechnic_Civil_p98_l0,c) 300mm dia RCC pipe Metre 290,300mm diameter reinforced cement concrete pipe metre 290,Nepal_Polytechnic_Civil,98
Nepal_Polytechnic_Civil_p98_l1,d) 450mm dia RCC pipe Metre 30,450mm diameter reinforced cement concrete pipe metre 30,Nepal_Polytechnic_Civil,98
Nepal_Polytechnic_Civil_p98_l2,30Constructing brick masonry manhole in cement mortar 1:4 (1 cement :4 coarse sand),30constructing brick masonry manhole in cement mortar 1 4 1 cement 4 coarse sand,Nepal_Polytechnic_Civil,98
Nepal_Polytechnic_Civil_p98_l12,32 Extra for depth for manholes:,32 extra for depth for manholes,Nepal_Polytechnic_Civil,98
Nepal_Polytechnic_Civil_p98_l13,a) Size 90x80cm with FPS bricks (class I ). Metre 8,size 90x80cm with fps bricks class metre 8,Nepal_Polytechnic_Civil,98
Nepal_Polytechnic_Civil_p98_l14,33Constructing brick masonry circular type manhole 0.91 m internal dia at bottom and,33constructing brick masonry circular type manhole 0.91 meter internal diameter at bottom and,Nepal_Polytechnic_Civil,98
Nepal_Polytechnic_Civil_p98_l20,34Extra depth for circular type manhole 0.91m internal dia (at bottom) beyond 0.91 m to,34extra depth for circular type manhole 0.91m internal diameter at bottom beyond 0.91 meter to,Nepal_Polytechnic_Civil,98
Nepal_Polytechnic_Civil_p99_l0,35Constructing brick masonry circular manhole 1.22 m internal dia at bottom and 0.56 m,35constructing brick masonry circular manhole 1.22 meter internal diameter at bottom and 0.56 meter,Nepal_Polytechnic_Civil,99
Nepal_Polytechnic_Civil_p99_l7,36Providing M.S. foot rests including fixing in manholes with 20x20x10 cm cement,36providing meter.s. foot rests including fixing in manholes with 20x20x10 centimeter cement,Nepal_Polytechnic_Civil,99
Nepal_Polytechnic_Civil_p99_l8,concrete blocks 1:3:6 (1 cement:3 coarse sand :6graded stone aggregate 20 mmnominal size) as per standard design.,concrete blocks 1 3 6 1 cement 3 coarse sand 6graded stone aggregate 20 mmnominal size as per standard design.,Nepal_Polytechnic_Civil,99
Nepal_Polytechnic_Civil_p99_l11,37Constructing brick mansonry road gully chamber 50x45x60 cm with bricks of 1st class in,37constructing brick mansonry road gully chamber 50x45x60 centimeter with bricks of 1st class in,Nepal_Polytechnic_Civil,99
